"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-01,,quarterly,56615,,,,,1989-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-02,,quarterly,56615,,,,,1989-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-03,,quarterly,56615,,,,,1989-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-04,,quarterly,58658,,,,,1989-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-05,,quarterly,58658,,,,,1989-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-06,,quarterly,58658,,,,,1989-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-07,,quarterly,60701,,,,,1989-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-08,,quarterly,60701,,,,,1989-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-09,,quarterly,60701,,,,,1989-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-10,,quarterly,59533,,,,,1989-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-11,,quarterly,59533,,,,,1989-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1989-12,,quarterly,59533,,,,,1989-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-01,,quarterly,58250,,,,,1990-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-02,,quarterly,58250,,,,,1990-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-03,,quarterly,58250,,,,,1990-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-04,,quarterly,57726,,,,,1990-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-05,,quarterly,57726,,,,,1990-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-06,,quarterly,57726,,,,,1990-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-07,,quarterly,58773,,,,,1990-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-08,,quarterly,58773,,,,,1990-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-09,,quarterly,58773,,,,,1990-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-10,,quarterly,57901,,,,,1990-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-11,,quarterly,57901,,,,,1990-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1990-12,,quarterly,57901,,,,,1990-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-01,,quarterly,57086,,,,,1991-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-02,,quarterly,57086,,,,,1991-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-03,,quarterly,57086,,,,,1991-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-04,,quarterly,56853,,,,,1991-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-05,,quarterly,56853,,,,,1991-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-06,,quarterly,56853,,,,,1991-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-07,,quarterly,57959,,,,,1991-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-08,,quarterly,57959,,,,,1991-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-09,,quarterly,57959,,,,,1991-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-10,,quarterly,57435,,,,,1991-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-11,,quarterly,57435,,,,,1991-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1991-12,,quarterly,57435,,,,,1991-12-01
