date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-21,83.1485,83.8677,82.9858,83.4824,5558694,5558694,0.496614,0.598,83.4916,"Feb 21, 14",0
2014-02-24,83.5252,84.116,83.2084,83.3283,4888158,4888158,-0.154121,-0.185,83.7202,"Feb 24, 14",-0.0018458980575546424
2014-02-25,82.9173,83.0372,82.044,82.5491,5993094,5993094,-0.779172,-0.935,84.6883,"Feb 25, 14",-0.011179601928071098
2014-02-26,82.7632,83.8335,82.4892,83.2256,4753899,4753899,0.676424,0.819,83.3417,"Feb 26, 14",-0.0030760974768334207
2014-02-27,83.2341,83.598,82.6433,82.7974,4340142,4340142,-0.428116,-0.514,82.9693,"Feb 27, 14",-0.008205322319435023
2014-02-28,82.7375,83.4996,82.455,83.0286,5411245,5411245,0.231184,0.279,83.0861,"Feb 28, 14",-0.005435876304466583
2014-03-03,82.4721,82.7718,81.8556,82.4635,4859173,4859173,-0.565113,-0.681,81.9294,"Mar 3, 14",-0.012204967753682239
2014-03-04,83.2256,83.4482,82.6776,83.0714,6264043,6264043,0.607924,0.737,83.0642,"Mar 4, 14",-0.004923193391661013
2014-03-05,82.6605,82.9687,82.0953,82.5149,5384826,5384826,-0.556548,-0.67,82.4883,"Mar 5, 14",-0.011589269115406375
2014-03-06,83.0115,84.039,82.7632,83.5681,6792145,6792145,1.0532,1.276,83.6951,"Mar 6, 14",0.0010265636828840903
2014-03-07,83.7222,83.7992,82.6262,83.0971,5259754,5259754,-0.470926,-0.564,83.0349,"Mar 7, 14",-0.004615344072523081
2014-03-10,82.7461,82.8831,82.0782,82.8403,4693467,4693467,-0.256869,-0.309,82.5916,"Mar 10, 14",-0.007691441549356502
2014-03-11,83.1314,83.8335,82.729,82.9173,5731313,5731313,0.077063,0.093,83.1489,"Mar 11, 14",-0.006769091449215656
2014-03-12,82.455,83.2598,82.455,82.9002,4449489,4449489,-0.017126,-0.021,82.8164,"Mar 12, 14",-0.006973925042883294
2014-03-13,83.2256,83.6794,81.3932,81.8642,8434596,8434596,-1.036,-1.25,77.6441,"Mar 13, 14",-0.019383726390233173
2014-03-14,81.7272,82.4121,81.5131,81.6758,5002348,5002348,-0.188372,-0.23,81.8659,"Mar 14, 14",-0.02164048949239604
2014-03-17,82.1895,82.5833,81.8128,81.9155,4697171,4697171,0.239745,0.294,82.0807,"Mar 17, 14",-0.018769225609230257
2014-03-18,82.3008,82.7546,81.9412,82.5491,4921286,4921286,0.633609,0.773,82.4708,"Mar 18, 14",-0.011179601928071098
2014-03-19,82.2751,82.8146,81.5559,82.2323,5109239,5109239,-0.316804,-0.384,80.2019,"Mar 19, 14",-0.014974413768650678
2014-03-20,81.9498,82.4036,81.4275,82.3779,4396040,4396040,0.145562,0.177,82.2859,"Mar 20, 14",-0.01323033357929338
2014-03-21,83.1143,83.5937,82.7718,83.3882,8340005,8340005,1.0103,1.226,79.0426,"Mar 21, 14",-0.0011283815510814343
2014-03-24,83.5681,83.5681,82.5577,82.9259,4811315,4811315,-0.462362,-0.554,82.9586,"Mar 24, 14",-0.006666075723745362
2014-03-25,83.3626,85.0579,83.1828,84.4157,9078108,9078108,1.4898,1.797,84.5544,"Mar 25, 14",0.011179601928071098
2014-03-26,85.0065,85.2805,83.7393,83.7393,5610221,5610221,-0.676422,-0.801,84.2785,"Mar 26, 14",0.003077295334106371
2014-03-27,83.7564,84.6726,83.3035,84.2959,4954162,4954162,0.556552,0.665,83.3363,"Mar 27, 14",0.009744568915124683
2014-03-28,84.6897,85.2976,84.5784,85.1007,5821490,5821490,0.804853,0.955,85.0331,"Mar 28, 14",0.01938492424750612
2014-03-31,85.623,86.1624,84.8096,85.0836,5772635,5772635,-0.017124,-0.02,85.3372,"Mar 31, 14",0.019180090653838484
2014-04-01,84.7154,85.6915,84.7154,85.4603,4814850,4814850,0.376743,0.443,85.4461,"Apr 1, 14",0.02369241900089127
2014-04-02,85.6573,87.9862,85.5203,87.8749,9358065,9358065,2.4146,2.825,87.226,"Apr 2, 14",0.05261588071258132
2014-04-03,87.267,88.3629,87.0015,87.8064,8230217,8230217,-0.0685,-0.078,87.6852,"Apr 3, 14",0.05179534848063781
2014-04-04,88.0975,88.5179,87.2584,87.481,4889367,4889367,-0.325365,-0.371,87.7861,"Apr 4, 14",0.04789752091458794
2014-04-07,87.0015,87.3954,85.9741,86.5734,5224380,5224380,-0.907606,-1.037,86.5753,"Apr 7, 14",0.037025768305654946
2014-04-08,86.4621,88.4058,86.445,87.6694,6626924,6626924,1.096,1.266,88.4637,"Apr 8, 14",0.05015428401675081
2014-04-09,87.892,88.3629,87.207,88.1831,4062154,4062154,0.513737,0.586,87.946,"Apr 9, 14",0.0563076768276906
2014-04-10,88.1146,88.8082,87.3278,87.5581,4540078,4540078,-0.625049,-0.709,87.5904,"Apr 10, 14",0.04882106887200174
2014-04-11,86.5649,87.4211,86.4536,86.8645,5364269,5364269,-0.693546,-0.792,86.9424,"Apr 11, 14",0.04051273082709659
2014-04-14,87.4896,88.0461,86.4364,88.0033,4117984,4117984,1.1388,1.311,87.6087,"Apr 14, 14",0.05415392945099803
2014-04-15,87.8749,88.2688,86.7019,87.7636,6317912,6317912,-0.239745,-0.272,87.5406,"Apr 15, 14",0.051282665567832245
2014-04-16,88.3837,88.8402,88.0306,88.6507,3801443,3801443,0.88714,1.011,88.5249,"Apr 16, 14",0.06190885743581884
2014-04-17,88.7541,89.0857,88.3665,88.5646,3556801,3556801,-0.086129,-0.097,88.694,"Apr 17, 14",0.06087750232384311
2014-04-21,88.6249,88.6938,87.4622,88.401,3821433,3821433,-0.163641,-0.185,88.1107,"Apr 21, 14",0.05891780782536197
2014-04-22,88.5215,89.6896,88.5043,89.3053,4533389,4533389,0.904336,1.023,90.3434,"Apr 22, 14",0.06975003114428914
2014-04-23,89.1933,90.1063,88.866,89.0383,6429276,6429276,-0.266996,-0.299,89.3854,"Apr 23, 14",0.06655175222561892
