date,price
1992-01,56504
1992-02,56504
1992-03,56504
1992-04,55166
1992-05,55166
1992-06,55166
1992-07,55328
1992-08,55328
1992-09,55328
1992-10,53213
1992-11,53213
1992-12,53213
1993-01,53484
1993-02,53484
1993-03,53484
1993-04,53918
1993-05,53918
1993-06,53918
1993-07,55057
1993-08,55057
1993-09,55057
1993-10,54026
1993-11,54026
1993-12,54026
1994-01,54623
1994-02,54623
1994-03,54623
1994-04,55383
1994-05,55383
1994-06,55383
1994-07,56305
1994-08,56305
1994-09,56305
1994-10,55925
1994-11,55925
1994-12,55925
1995-01,55437
1995-02,55437
1995-03,55437
1995-04,56033
1995-05,56033
1995-06,56033
1995-07,56522
1995-08,56522
1995-09,56522
1995-10,55762
1995-11,55762
1995-12,55762
1996-01,56576
1996-02,56576
1996-03,56576
1996-04,56630
1996-05,56630
1996-06,56630
1996-07,58854
1996-08,58854
1996-09,58854
1996-10,59885
1996-11,59885
1996-12,59885
1997-01,60698
1997-02,60698
1997-03,60698
1997-04,61946
1997-05,61946
1997-06,61946
1997-07,65092
1997-08,65092
1997-09,65092
1997-10,64604
1997-11,64604
1997-12,64604
1998-01,66231
1998-02,66231
1998-03,66231
1998-04,69757
1998-05,69757
1998-06,69757
1998-07,72795
1998-08,72795
1998-09,72795
1998-10,72469
1998-11,72469
1998-12,72469
1999-01,72903
1999-02,72903
1999-03,72903
1999-04,75995
1999-05,75995
1999-06,75995
1999-07,80443
1999-08,80443
1999-09,80443
1999-10,82504
1999-11,82504
1999-12,82504
2000-01,84620
2000-02,84620
2000-03,84620
2000-04,89230
2000-05,89230
2000-06,89230
2000-07,90912
2000-08,90912
2000-09,90912
2000-10,93624
2000-11,93624
2000-12,93624
2001-01,93136
2001-02,93136
2001-03,93136
2001-04,96499
2001-05,96499
2001-06,96499
2001-07,99971
2001-08,99971
2001-09,99971
2001-10,97964
2001-11,97964
2001-12,97964
2002-01,97623
2002-02,101164
2002-03,104705
2002-04,106121
2002-05,108852
2002-06,113304
2002-07,114214
2002-08,116743
2002-09,119576
2002-10,120486
2002-11,121700
2002-12,125747
2003-01,124836
2003-02,123521
2003-03,126152
2003-04,129186
2003-05,128276
2003-06,128579
2003-07,130805
2003-08,133132
2003-09,132727
2003-10,135054
2003-11,133536
2003-12,136167
2004-01,136976
2004-02,135661
2004-03,135964
2004-04,142135
2004-05,143855
2004-06,146384
2004-07,149520
2004-08,151240
2004-09,150937
2004-10,152050
2004-11,151847
2004-12,150734
2005-01,150633
2005-02,150488
2005-03,151723
2005-04,153880
2005-05,155533
2005-06,156767
2005-07,158786
2005-08,159431
2005-09,159183
2005-10,158865
2005-11,159337
2005-12,160209
2006-01,159970
2006-02,160231
2006-03,161531
2006-04,165042
2006-05,166606
2006-06,168184
2006-07,170604
2006-08,172037
2006-09,172738
2006-10,173750
2006-11,174644
2006-12,176819
2007-01,176758
2007-02,177261
2007-03,178636
2007-04,182243
2007-05,184330
2007-06,186348
2007-07,188691
2007-08,189786
2007-09,190032
2007-10,189589
2007-11,189489
2007-12,189193
2008-01,185782
2008-02,184185
2008-03,182845
2008-04,183148
2008-05,184267
2008-06,181831
2008-07,179845
2008-08,176092
2008-09,171660
2008-10,168177
2008-11,163447
2008-12,160954
2009-01,157234
2009-02,155417
2009-03,154452
2009-04,155852
2009-05,158004
2009-06,159561
2009-07,162423
2009-08,164025
2009-09,165314
2009-10,166425
2009-11,166986
2009-12,168082
2010-01,167469
2010-02,167888
2010-03,167878
2010-04,170028
2010-05,170846
2010-06,171689
2010-07,173427
2010-08,173417
2010-09,172972
2010-10,171045
2010-11,169013
2010-12,168703
2011-01,167300
2011-02,166415
2011-03,165649
2011-04,168218
2011-05,167470
2011-06,167753
2011-07,169866
2011-08,169968
2011-09,169544
2011-10,167673
2011-11,167757
2011-12,167048
2012-01,165908
2012-02,165457
2012-03,165947
2012-04,167854
2012-05,168395
2012-06,170049
2012-07,170701
2012-08,170902
2012-09,170295
2012-10,169090
2012-11,169227
2012-12,168843
2013-01,167716
2013-02,167682
2013-03,168681
2013-04,170335
2013-05,171234
2013-06,172655
2013-07,174592
2013-08,175982
2013-09,176098
2013-10,175378
2013-11,176352
2013-12,177971
2014-01,178182
2014-02,178921
2014-03,179537
2014-04,183532
2014-05,185476
2014-06,187077
2014-07,189709
2014-08,191932
2014-09,192138
2014-10,191855
2014-11,191209
2014-12,191669
2015-01,190665
2015-02,190827
2015-03,191537
2015-04,193225
2015-05,195313
2015-06,196802
2015-07,200142
2015-08,201973
2015-09,202389
2015-10,202664
2015-11,204223
2015-12,204920
2016-01,205464
2016-02,205555
2016-03,207667
2016-04,208443
2016-05,210872
2016-06,212887
2016-07,215127
2016-08,215145
2016-09,214816
2016-10,214107
2016-11,215113
2016-12,215500
2017-01,215243
2017-02,215697
2017-03,215236
2017-04,218642
2017-05,219954
2017-06,221833
2017-07,224719
2017-08,225738
2017-09,224895
